index,coffeeName,rating,rating_count,url,24_hours,lon,lan
35,سهرانة,4.4,87,https://www.google.com/maps/place/%D8%B3%D9%87%D8%B1%D8%A7%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2efd06edf6951f:0x988d6acf97a15610!8m2!3d24.7874156!4d46.689307!16s%2Fg%2F11tcsp9xyd!19sChIJH5X27Qb9Lj4REFahl89qjZg?authuser=0&hl=en&rclk=1,False,46.689307,24.7874156
36,Coffee House,3.6,149,https://www.google.com/maps/place/Coffee+House/data=!4m7!3m6!1s0x3e2f1a6497aded19:0x7bfc798e666475c2!8m2!3d24.5853449!4d46.6263145!16s%2Fg%2F12q4ynw5l!19sChIJGe2tl2QaLz4RwnVkZo55_Hs?authuser=0&hl=en&rclk=1,False,46.6263145,24.5853449
37,قهوتنا زمان,4.0,97,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%AA%D9%86%D8%A7+%D8%B2%D9%85%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2f18503e249611:0xf044fc16bbc5dca5!8m2!3d24.5754061!4d46.546412!16s%2Fg%2F11cmdt2rcy!19sChIJEZYkPlAYLz4RpdzFuxb8RPA?authuser=0&hl=en&rclk=1,False,46.546412,24.5754061
38,INFUSE,4.2,321,https://www.google.com/maps/place/INFUSE/data=!4m7!3m6!1s0x3e2ee3248ee7a86b:0x7603c7c44335bf43!8m2!3d24.73743!4d46.6090483!16s%2Fg%2F11s61bt19d!19sChIJa6jnjiTjLj4RQ781Q8THA3Y?authuser=0&hl=en&rclk=1,False,46.6090483,24.73743
39,dr.CAFE COFFEE,4.7,3,https://www.google.com/maps/place/dr.CAFE+COFFEE/data=!4m7!3m6!1s0x3e2efd6c7e60a8a9:0x44576ab0bb651c1c!8m2!3d24.753468!4d46.6908358!16s%2Fg%2F11qg167jfj!19sChIJqahgfmz9Lj4RHBxlu7BqV0Q?authuser=0&hl=en&rclk=1,False,46.6908358,24.753468
40,dr.CAFE COFFEE |,4.0,674,https://www.google.com/maps/place/dr.CAFE+COFFEE+%7C/data=!4m7!3m6!1s0x3e2efdeb996eaf73:0x419c856d988baa0e!8m2!3d24.7884049!4d46.7254538!16s%2Fg%2F11c1v05rq0!19sChIJc69umev9Lj4RDqqLmG2FnEE?authuser=0&hl=en&rclk=1,False,46.7254538,24.7884049
41,دانكن دونتس,3.8,23,https://www.google.com/maps/place/%D8%AF%D8%A7%D9%86%D9%83%D9%86+%D8%AF%D9%88%D9%86%D8%AA%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x3e2f196953464135:0xa22f67ccb4d73157!8m2!3d24.5723811!4d46.5554814!16s%2Fg%2F11sdm3pq3x!19sChIJNUFGU2kZLz4RVzHXtMxnL6I?authuser=0&hl=en&rclk=1,False,46.5554814,24.5723811
42,Ristretto Caffe,4.3,2614,https://www.google.com/maps/place/Ristretto+Caffe/data=!4m7!3m6!1s0x3e2f032eacb3693f:0xa2af528121a73d42!8m2!3d24.7017553!4d46.6758945!16s%2Fg%2F11c30s4xhl!19sChIJP2mzrC4DLz4RQj2nIYFSr6I?authuser=0&hl=en&rclk=1,False,46.6758945,24.7017553
43,Tobacco Coffee,4.2,239,https://www.google.com/maps/place/Tobacco+Coffee/data=!4m7!3m6!1s0x3e2f0192f41d8711:0xa6d44e0b514c8304!8m2!3d24.7408308!4d46.7669694!16s%2Fg%2F11j3xnn7qg!19sChIJEYcd9JIBLz4RBINMUQtO1KY?authuser=0&hl=en&rclk=1,False,46.7669694,24.7408308
44,Pure coffee,4.0,186,https://www.google.com/maps/place/Pure+coffee/data=!4m7!3m6!1s0x3e2f1bfcdb4c301d:0x78a2344194f011fb!8m2!3d24.5798633!4d46.603584!16s%2Fg%2F11h1m4n_pg!19sChIJHTBM2_wbLz4R-xHwlEE0ong?authuser=0&hl=en&rclk=1,False,46.603584,24.5798633
45,KF Coffee,4.5,117,https://www.google.com/maps/place/KF+Coffee/data=!4m7!3m6!1s0x3e2f0fab468f3441:0x72a443a6103dd95f!8m2!3d24.5931074!4d46.6941866!16s%2Fg%2F11pyd9f2bc!19sChIJQTSPRqsPLz4RX9k9EKZDpHI?authuser=0&hl=en&rclk=1,False,46.6941866,24.5931074
46,Vite café,3.1,14,https://www.google.com/maps/place/Vite+caf%C3%A9/data=!4m7!3m6!1s0x3e2f038ec65b07c9:0x540c0b3acc40acf6!8m2!3d24.6930929!4d46.7142286!16s%2Fg%2F11fngzbj1b!19sChIJyQdbxo4DLz4R9qxAzDoLDFQ?authuser=0&hl=en&rclk=1,False,46.7142286,24.6930929
47,Half Million,4.4,253,https://www.google.com/maps/place/Half+Million/data=!4m7!3m6!1s0x3e2ee32c4f44469f:0x51a51de2095e34d9!8m2!3d24.7759027!4d46.6183733!16s%2Fg%2F11nxt72dzz!19sChIJn0ZETyzjLj4R2TReCeIdpVE?authuser=0&hl=en&rclk=1,True,46.6183733,24.7759027
48,dr.CAFE COFFEE | د.كيف كافيه,4.0,19,https://www.google.com/maps/place/dr.CAFE+COFFEE+%7C+%D8%AF.%D9%83%D9%8A%D9%81+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%8E%E2%80%AD/data=!4m7!3m6!1s0x3e2efb8932788d35:0xb5c7261bdcb6c2be!8m2!3d24.8423415!4d46.7226365!16s%2Fg%2F11c0wdqtr1!19sChIJNY14Mon7Lj4RvsK23Bsmx7U?authuser=0&hl=en&rclk=1,False,46.7226365,24.8423415
49,عنوان القهوة,3.3,6,https://www.google.com/maps/place/%D8%B9%D9%86%D9%88%D8%A7%D9%86+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f03b188ad853f:0x8f5adef3d96a189a!8m2!3d24.7071199!4d46.6885793!16s%2Fg%2F11tdcjh3rw!19sChIJP4WtiLEDLz4Rmhhq2fPeWo8?authuser=0&hl=en&rclk=1,False,46.6885793,24.7071199
50,Grek Cafe & Juicery,4.5,126,https://www.google.com/maps/place/Grek+Cafe+%26+Juicery/data=!4m7!3m6!1s0x3e2ee55d0e05ced9:0xeec00d5eb71e4da5!8m2!3d24.8001474!4d46.6000625!16s%2Fg%2F11t2qycphq!19sChIJ2c4FDl3lLj4RpU0et14NwO4?authuser=0&hl=en&rclk=1,False,46.6000625,24.8001474
51,دانكن,4.3,3,https://www.google.com/maps/place/%D8%AF%D8%A7%D9%86%D9%83%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2fab4d99ad2bfd:0xaef81ad23407148d!8m2!3d24.7305814!4d46.834839!16s%2Fg%2F11tx9kv7sx!19sChIJ_SutmU2rLz4RjRQHNNIa-K4?authuser=0&hl=en&rclk=1,False,46.834839,24.7305814
52,كافيه المخبز اللذيذ,4.2,16,https://www.google.com/maps/place/%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D8%A7%D9%84%D9%85%D8%AE%D8%A8%D8%B2+%D8%A7%D9%84%D9%84%D8%B0%D9%8A%D8%B0%E2%80%AD/data=!4m7!3m6!1s0x3e2f048c0e02283d:0x212b5e845116cff!8m2!3d24.6632305!4d46.7037482!16s%2Fg%2F11c6df8bjw!19sChIJPSgCDowELz4R_2wRRei1EgI?authuser=0&hl=en&rclk=1,False,46.7037482,24.6632305
53,مقهى المساء الذهبي,3.5,79,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%A1+%D8%A7%D9%84%D8%B0%D9%87%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2f1839d682f9d5:0xb4ee020fd7d09f74!8m2!3d24.561911!4d46.5453144!16s%2Fg%2F11c2nhsp4g!19sChIJ1fmC1jkYLz4RdJ_Q1w8C7rQ?authuser=0&hl=en&rclk=1,False,46.5453144,24.561911
54,Kaido Cafe,3.8,458,https://www.google.com/maps/place/Kaido+Cafe/data=!4m7!3m6!1s0x3e2f037caccd41d5:0x2ff2eb4ef746ffe6!8m2!3d24.7274402!4d46.6904515!16s%2Fg%2F11j1bm03yz!19sChIJ1UHNrHwDLz4R5v9G907r8i8?authuser=0&hl=en&rclk=1,False,46.6904515,24.7274402
55,مقهى وهج الديوانيه,4.4,25,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D9%88%D9%87%D8%AC+%D8%A7%D9%84%D8%AF%D9%8A%D9%88%D8%A7%D9%86%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2fa1508c851d6f:0xfebbb123994d410f!8m2!3d24.5599887!4d46.8467973!16s%2Fg%2F11p5lpkvxp!19sChIJbx2FjFChLz4RD0FNmSOxu_4?authuser=0&hl=en&rclk=1,True,46.8467973,24.5599887
56,Starbucks cafe,4.0,12,https://www.google.com/maps/place/Starbucks+cafe/data=!4m7!3m6!1s0x3e2f05b877ec364b:0x2ea79298f7465e36!8m2!3d24.6273239!4d46.6896532!16s%2Fg%2F11rk8zzxjp!19sChIJSzbsd7gFLz4RNl5G95iSpy4?authuser=0&hl=en&rclk=1,False,46.6896532,24.6273239
57,تسالي وقت الزين,5.0,1,https://www.google.com/maps/place/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A+%D9%88%D9%82%D8%AA+%D8%A7%D9%84%D8%B2%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e2f0961de2fd8f7:0x8f51189534ff2920!8m2!3d24.5719895!4d46.7535317!16s%2Fg%2F11p00m76l_!19sChIJ99gv3mEJLz4RICn_NJUYUY8?authuser=0&hl=en&rclk=1,False,46.7535317,24.5719895
58,تاج القهوة,4.4,17,https://www.google.com/maps/place/%D8%AA%D8%A7%D8%AC+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f1f04760a9de7:0xeee04a6147d944a6!8m2!3d24.6443429!4d46.5701137!16s%2Fg%2F11g2ssjzpm!19sChIJ550KdgQfLz4RpkTZR2FK4O4?authuser=0&hl=en&rclk=1,True,46.5701137,24.6443429
59,Churros joy,4.3,73,https://www.google.com/maps/place/Churros+joy/data=!4m7!3m6!1s0x3e2ee35d09b04081:0xb7ad1420ece51f6!8m2!3d24.7605396!4d46.6003275!16s%2Fg%2F11m_jcj6v0!19sChIJgUCwCV3jLj4R9lHODkLRegs?authuser=0&hl=en&rclk=1,False,46.6003275,24.7605396
60,مقهى النخبة,4.1,11,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%86%D8%AE%D8%A8%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2e55b92e085939:0x7be30e75792b484!8m2!3d24.8613421!4d46.8497697!16s%2Fg%2F11f3_k3yqr!19sChIJOVkILrlVLj4RhLSSV-cwvgc?authuser=0&hl=en&rclk=1,False,46.8497697,24.8613421
61,March Coffee مارش كوفي,4.3,3,https://www.google.com/maps/place/March+Coffee+%D9%85%D8%A7%D8%B1%D8%B4+%D9%83%D9%88%D9%81%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2f03003bd3a8c1:0x336ee6d392acc822!8m2!3d24.6858635!4d46.6871148!16s%2Fg%2F11t9jzntw4!19sChIJwajTOwADLz4RIsisktPmbjM?authuser=0&hl=en&rclk=1,False,46.6871148,24.6858635
